Date,open,high,low,close,Volume,RSI,MACD,OnBalanceVolume,silver_mean,sp500_mean,vix_mean,gold_mean
24-03-2021,54350.9,57199.75,51593.3,52306.1125,195646698.2,46.25419153,1494.105627,1470105584,25.056,3904.54,20.92,1730.34
25-03-2021,52305.965,53247.55,50432.64,51301.545,219463224.3,44.11499045,1048.287742,1250642360,25.0185,3894.435,20.305,1730.125
26-03-2021,51301.545,55069.365,51227.3,55032.3975,136691925,52.83864782,984.6717886,1387334285,,3945.835,19.09,
27-03-2021,55032.3475,56649.89,53963.75,55820.235,108083617.8,54.45543741,986.4563351,1495417903,,,,
28-03-2021,55820.185,56547.9375,54681.51,55777.8575,94140535.49,54.34749326,973.2322751,1401277368,24.8245,,,1721.275
29-03-2021,55777.8125,58404.955,54897.7525,57635.8175,138336666.8,58.25399802,1099.993912,1539614034,24.322,3970.205,20.57,1698.45
30-03-2021,57636.765,59361.2,57064.7375,58756.1925,116159813.4,60.45168267,1276.147685,1655773848,24.1915,3960.95,20.185,1695.685
31-03-2021,58755.7425,59801,56578.75,58745.5875,157353531.1,60.41926988,1398.770924,1498420317,24.6555,3970.075,19.6,1717.605
01/04/21,58745.115,59490.8,57910.1125,58733.71,103170610.6,60.38021149,1477.95536,1395249706,24.9055,4006.33,17.965,1726.8
02/04/21,58733.7125,60189.55,58452.4925,58963.0525,86534441.73,60.90576966,1541.44678,1481784148,,,,
03/04/21,58963.0525,59795.43,56807.1,57058.135,84704597.67,54.44551936,1421.665194,1397079550,,,,
04/04/21,57055.2375,58488.8125,56419.55,58200.4525,65807988.45,57.36592523,1402.742952,1462887539,24.908,,,1728.015
05/04/21,58200.7025,59261.55,56646.4425,59123.5975,96167777.82,59.61889066,1445.573356,1559055316,24.9675,4056.18,18.035,1735.335
06/04/21,59123.5975,59497.56,57357.905,57989.6875,95140414.59,55.72367769,1372.201811,1463914902,25.115,4074.76,18.095,1740.09
07/04/21,57991.1575,58663.05,55457,55959.7125,167393320.5,49.48973388,1137.144027,1296521581,25.269,4077.125,17.575,1745.97
08/04/21,55959.71,58149.3275,55700.3,58079.98,97906940.28,55.13534855,1109.161187,1394428522,25.3465,4093.565,16.935,1750.89
09/04/21,58079.98,58900.475,57666.45,58135.935,107898100.4,55.27740545,1079.060943,1502326622,,4112.46,16.87,
10/04/21,58139.2375,61376.25,57902.3025,59770.1325,187296265.7,59.32813679,1173.544473,1689622888,,,,
11/04/21,59770.1325,60696.95,59236.93,60009.4075,124327792.9,59.90082231,1253.283769,1813950681,25.01,,,1737.1
12/04/21,60008.5,61281.35,59401.8475,59861.95,149423871.2,59.34625631,1289.712149,1664526809,25.0675,4126.355,17.17,1732.83
13-04-2021,59861.9525,63765.7925,59813.2875,63575.6,235080432.4,67.50575359,1599.800912,1899607242,25.3805,4135.85,16.82,1740.57
14-04-2021,63575.6025,64848.5,61156.75,62959.2325,263408711.5,65.16786713,1775.347682,1636198530,25.599,4133.125,16.85,1749.59
15-04-2021,62957.0825,63785.8,62027.45,63156.545,156569990.3,65.57882798,1908.392471,1792768521,25.8465,4155.095,16.675,1769.38
16-04-2021,63156.235,63514.5025,59968.15,61344.25,276608888.2,58.7253914,1846.311238,1516159632,,4179.81,16.45,
17-04-2021,61344.3025,62503.4125,59591.7775,60006.765,170825217.2,54.22173877,1669.937551,1345334415,,,,
18-04-2021,60006.8175,60422.5,49883.325,56151.3025,344558999.2,43.79527498,1205.164149,1000775416,25.8695,,,1773.085
19-04-2021,56152.3525,57556.1525,54214.495,55626.185,235464146.3,42.59390229,785.4016645,765311269.7,25.822,4171.535,17.165,1771.14
20-04-2021,55626.135,57067.61,53329.99,56429.4,258225263.6,45.07574089,511.6516077,1023536533,26.176,4147.065,18.02,1785.39
21-04-2021,56428.55,56760.3275,53592.755,53790.9575,213704876.3,39.09641957,80.87023424,809831657.1,26.3465,4150.925,17.99,1788.675
22-04-2021,53790.905,55484.47,50449.25,51691.69,288507396.8,35.10619394,-425.0210724,521324260.3,25.89,4152.725,17.995,1780.505
23-04-2021,51689.0875,52120.5125,47501.05,51108.135,364732469,34.06538673,-863.0825112,156591791.2,,4159.48,17.945,
24-04-2021,51108.04,51156.005,48673.285,50037.96,151956762,32.18108797,-1281.827428,4635029.259,,,,
25-04-2021,50042.21,50559.5275,46960.6,49077.3925,131073741,30.54777453,-1671.922676,-126438711.8,26.0795,,,1776.565
26-04-2021,49068.44,54352.355,48768.51,53996.9475,193408429.3,45.73758693,-1566.056473,66969717.54,26.225,4186.33,17.79,1778.585
27-04-2021,53994.145,55447.5,53238.65,55013.3925,127750311.8,48.2556781,-1384.182138,194720029.4,26.1945,4187.49,17.59,1776.585
28-04-2021,55013.3425,56415.55,53813.19,54837.405,145112331,47.84171022,-1239.952733,49607698.34,26.1315,4184.165,17.375,1776.84
29-04-2021,54837.3575,55188.31,52333.035,53557.7,127315562,44.83011927,-1214.906702,-77707863.61,25.97,4208.81,17.245,1769.88
